name_ID,name_orig,name_orig_for_lookup,google_name,name_compare,brief_desc,image_url,image_source,detailed_desc,desc_source
628,"Fairey, Shepard",Shepard Fairey,Shepard Fairey,TRUE,American artist,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcRtTPwf0cvo5w1eF9Wb6XAsI4upan6ThiFeA9hfA4cV19-N9xcS,https://commons.wikimedia.org/wiki/File:Shepard-fairey-2011-westhollywood.jpg,"Frank Shepard Fairey is an American contemporary street artist, graphic designer, activist, illustrator, and founder of OBEY Clothing who emerged from the skateboarding scene. ",https://en.wikipedia.org/wiki/Shepard_Fairey
629,"Falk, Sam",Sam Falk,Rat Pack,FALSE,Musical group,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcShYk3yZG7Hv8VY0dvZad4JZhfRSBfgJZFwPLtVwWFOPbns5S2f,"https://commons.wikimedia.org/wiki/File:Cal-Neva_Casino,_NV,_Lake_Tahoe,_The_Rat_Pack_9-2010_(5782322671).jpg","The Rat Pack was an informal group of entertainers, the second iteration of which ultimately made movies and appeared together in Las Vegas casino venues. ",https://en.wikipedia.org/wiki/Rat_Pack
630,"Farrell, Jeremiah P.",Jeremiah P. Farrell,Patrick Flueger,FALSE,American actor,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSALN6kW_qddFEYNkho86cvROBzoe02zkqkk00XWwl2QRZTbEJL,https://en.wikipedia.org/wiki/Patrick_Flueger,"Patrick John Flueger is an American actor, known for a lead role as Shawn Farrell in the television series The 4400. He currently appears as a regular in Chicago P.D., playing the role of Adam Ruzek.",https://en.wikipedia.org/wiki/Patrick_Flueger
632,"Feliciano, Jose",Jose Feliciano,Cheo Feliciano,FALSE,Puerto Rican singer,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTJi0Wu_PXh-8s_H83tNBac427xcfvI-8T_X__RQZjT-9225-da,https://en.m.wikipedia.org/wiki/File:Cheito.jpg,"Cheo Feliciano was a Puerto Rican singer and composer of salsa and bolero music. Feliciano was the owner of a recording company called ""Coche Records"". ",https://en.wikipedia.org/wiki/Cheo_Feliciano
633,"Francis, Joseph",Joseph Francis,Franz Joseph I of Austria,FALSE,Emperor of Austria,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRv_X_1qJOwfYFZJPcN7DoqZyJhmKR1qXwaiorKWh8wCNBg7L41,https://commons.wikimedia.org/wiki/File:Franz_Joseph_of_Austria_1910_old.jpg,"Franz Joseph I or Francis Joseph I was Emperor of Austria, King of Hungary, Croatia, and Bohemia, and monarch of other states of the Austro-Hungarian Empire, from 2 December 1848 until his death. ",https://en.wikipedia.org/wiki/Franz_Joseph_I_of_Austria
637,"Garfield, Lucretia Rudolph",Lucretia Rudolph Garfield,Lucretia Garfield,FALSE,Former First Lady of the United States,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSjbK_DVDwfFHJp9chFOQyhYXUa4MWzqGuhEZ3SxpZEKIjBkJPI,https://nl.m.wikipedia.org/wiki/Bestand:Lucretia_Garfield_-_Brady-Handy.jpg,"Lucretia Garfield was the First Lady of the United States from March to September 1881, as the wife of James A. Garfield, the 20th President of the United States.
Born in Garrettsville, Ohio, Garfield first met her husband in 1849 at Geauga Seminary. After a long courtship, they married in 1858. They would eventually have seven children together, five of whom lived to adulthood. ",https://en.wikipedia.org/wiki/Lucretia_Garfield
639,"Gordon, George P.",George P. Gordon,Charles George Gordon,FALSE,General,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSKXpRSttZKKoKgBVMdPxauLaqNoSzS2jnUGR33qVZlM4jzTI3K,https://zh.wikipedia.org/wiki/File:Charles_George_Gordon_by_Freres.jpg,"Major-General Charles George Gordon CB, also known as Chinese Gordon, Gordon Pasha, and Gordon of Khartoum, was a British Army officer and administrator. He saw action in the Crimean War as an officer in the British Army. ",https://en.wikipedia.org/wiki/Charles_George_Gordon
640,"Harding, Kenneth R.",Kenneth R. Harding,Kenneth R. Harding,TRUE,,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcTOl-JgPvgEitVu-PHLrBfjnRWoU_E14cdMtZwWlyT8iccgTpaL,https://en.wikipedia.org/wiki/Kenneth_R._Harding,"Kenneth R. Harding served as Sergeant at Arms of the United States House of Representatives from October 1, 1972 until February 29, 1980.",https://en.wikipedia.org/wiki/Kenneth_R._Harding
641,"Harrison, William",William Harrison,William Henry Harrison,FALSE,9th U.S. President,https://encrypted-tbn1.gstatic.com/images?q=tbn:ANd9GcTNSfgYJ8ArQ2BG_i4ZIUA0Jexmr-A-f2UzSjq_7m5rXdkgbzU-,"https://de.m.wikipedia.org/wiki/Datei:William_Henry_Harrison_by_James_Reid_Lambdin,_1835.jpg",William Henry Harrison was an American military officer and politician who served as the ninth president of the United States in 1841. ,https://en.wikipedia.org/wiki/William_Henry_Harrison
642,"Johnson, Jack",Jack Johnson,Jack Johnson,TRUE,American singer-songwriter,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSWLL8ZZXa5CXAxeF6n_2ScWoKx7WxyiDiBPRaPx4N3PsranNz9,https://en.wikipedia.org/wiki/File:Jack_Johnson_2014.jpg,"Jack Hody Johnson is an American singer-songwriter, multi-instrumentalist, actor, record producer, documentary filmmaker and former professional surfer. Johnson is known primarily for his work in the soft rock and acoustic genres. In 2001, he achieved commercial success after the release of his debut album, Brushfire Fairytales. ",https://en.wikipedia.org/wiki/Jack_Johnson_(musician)
643,"Jolson, Al",Al Jolson,Al Jolson,TRUE,American-Lithuanian singer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5ZYRHuQ9UQDgAj6tvpbWLHINyxUURSBpJ880A0zgRQ2tdiOVP,https://commons.wikimedia.org/wiki/File:Al_Jolson_1924.JPG,"Al Jolson was a Lithuanian-born American singer, comedian, and actor. Jolson has been dubbed ""the king of blackface"" performers, a theatrical convention since the mid-19th century. ",https://en.wikipedia.org/wiki/Al_Jolson
644,"Kennedy, Jr., John",John Jr. Kennedy,Ted Kennedy,FALSE,Former American senator,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQ7VFhUzMozlcskLCUqSH923QLXY8quCxz0GDsYnGz7Gar_E0TL,"https://fr.m.wikipedia.org/wiki/Fichier:Ted_Kennedy,_official_photo_portrait.jpg","Edward Moore Kennedy was an American politician and lawyer who served as a U.S. Senator from Massachusetts for almost 47 years, from 1962 until his death in 2009. ",https://en.wikipedia.org/wiki/Ted_Kennedy
645,"Keyes, Alan",Alan Keyes,Alan Keyes,TRUE,American pundit,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQW1fuLEpUKiw8hFOM38EfLPPdISkwLSF-VL_BOsgqlmXI6VHgc,https://es.m.wikipedia.org/wiki/Archivo:Alan_Keyes.jpg,"Alan Lee Keyes is an American conservative political activist, pundit, author and former ambassador.
A doctoral graduate of Harvard University, Keyes began his diplomatic career in the U.S. ",https://en.wikipedia.org/wiki/Alan_Keyes
646,"Kim, Bill",Bill Kim,Buffalo Bills,FALSE,American football team,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSSlrg3a1uP2O18XWstorrv57YJ3iPhIjCGQ2xxVo4Ei2HaDRQb,https://en.m.wikipedia.org/wiki/File:Buffalo_Bills_classic_logo.svg,The Buffalo Bills are a professional American football team based in the Buffaloâ€“Niagara Falls metropolitan area. They compete in the National Football League as a member club of the league's American Football Conference East division. ,https://en.wikipedia.org/wiki/Buffalo_Bills
648,"Lazio, Rick",Rick Lazio,Rick Lazio,TRUE,U.S. representative,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcSMLBLWaq9cDz733YOOw6U7faSCDJZtpLeDmknMyB36DTxR-Y3g,https://en.wikipedia.org/wiki/Rick_Lazio,Enrico Anthony Lazio is a former four-term U.S. Representative from the State of New York. Lazio became well-known during his bid for U.S. Senate in New York's 2000 Senate election; he was defeated by Hillary Rodham Clinton. Lazio also ran unsuccessfully for the 2010 New York State Republican Party gubernatorial nomination.,https://en.wikipedia.org/wiki/Rick_Lazio
649,"Leech, John",John Leech,John Leech,TRUE,British Politician,https://encrypted-tbn2.gstatic.com/images?q=tbn:ANd9GcTkGLoyN8MVDZRDZZrisa3LKdMvfI2mxpH7dsxiDxYnvnjMflSH,https://en.wikipedia.org/wiki/File:John_Leech_canvassing_in_south_Manchester.png,"John Sampson Macfarlane Leech is a British Liberal Democrat politician who is currently Leader of the Opposition on Manchester City Council. He was the Member of Parliament for Manchester Withington from 2005 to 2015.
",https://en.wikipedia.org/wiki/John_Leech_(politician)
650,"Lockwood, Belva Ann",Belva Ann Lockwood,Belva Ann Lockwood,TRUE,American attorney,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQlPhbqXLoIT75eyh3j7BhPUdOLxSXqV68MaRNvjj90lQD_NVI2,https://commons.wikimedia.org/wiki/File:Belva_Ann_Lockwood_-_Brady-Handy.jpg,"Belva Ann Bennett Lockwood was an American attorney, politician, educator, and author. She was active in working for women's rights, including women's suffrage. Lockwood overcame many social and personal obstacles related to gender restrictions. ",https://en.wikipedia.org/wiki/Belva_Ann_Lockwood
651,"Looff, Charles I. D.",Charles I. D. Looff,Charles I. D. Looff,TRUE,Wood carver,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQEzGXYfLfmzvdjYBXcRkEANWMNEbDNfSVoHLBmdzJ54oOeAI59,https://en.wikipedia.org/wiki/Charles_I._D._Looff,"Charles I. D. Looff was a German master carver and builder of hand-carved carousels and amusement rides, who immigrated to the United States of America in 1870. Looff built the first carousel at Coney Island in 1876. ",https://en.wikipedia.org/wiki/Charles_I._D._Looff
652,"Madison, Dolley",Dolley Madison,Dolley Madison,TRUE,Former First Lady of the United States,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcSTxFL0eQNGDPfMPe1cLGvUhQ0Lua04nJ3ZP5Jvsx1wjZ53hP5X,https://en.wikipedia.org/wiki/Dolley_Madison,"Dolley Todd Madison was the wife of James Madison, President of the United States from 1809 to 1817. She was noted for holding Washington social functions in which she invited members of both political parties, essentially spearheading the concept of bipartisan cooperation, albeit before that term was in use, in the United States. ",https://en.wikipedia.org/wiki/Dolley_Madison
653,"Marie, Kaitlin",Kaitlin Marie,Kaitlin Bennett,FALSE,Civil rights advocate,https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcQm9uKWPx8vHtuZCwqAjSR_RbJUwBD_wIkDeyWf8o7yiAku0PhF,"https://commons.wikimedia.org/wiki/File:Kaitlin_Bennett_at_University_of_Akron,_2020.jpg","Kaitlin Marie Bennett is an American gun rights activist and conservative social media personality. Bennett received media attention in 2018 for open-carrying an AR-10 rifle at Kent State University after graduating.
",https://en.wikipedia.org/wiki/Kaitlin_Bennett
