Name,Name_ID,Name_Display,Category,fill_check,border_check,Items
"Lalanne, Maxime",LalanneMaxime,Maxime Lalanne,Work and Industry,wi,wi,2
"Lambrecht, Wilhelm",LambrechtWilhelm,Wilhelm Lambrecht,Medicine and Science,ms,ms,2
"Lamsvelt, Jan",LamsveltJan,Jan Lamsvelt,Work and Industry,wi,wi,2
"Lancaster, Cyrus",LancasterCyrus,Cyrus Lancaster,Medicine and Science,ms,ms,2
"Landis, Deborah Nadoolman",LandisDeborahNadoolman,Deborah Nadoolman Landis,Cultural and Community Life,ccl,ccl,2
"Lange, Dorothea",LangeDorothea,Dorothea Lange,Work and Industry,wi,wi,2
"Latimer, Horace A.",LatimerHoraceA,Horace A. Latimer,Work and Industry,wi,wi,2
"LaTourette, Henry",LaTouretteHenry,Henry LaTourette,Cultural and Community Life,ccl,ccl,2
"LaTourette, John",LaTouretteJohn,John LaTourette,Cultural and Community Life,ccl,ccl,2
"Lavell, Joan Jennings",LavellJoanJennings,Joan Jennings Lavell,Political and Military History,pmh,pmh,2
"Law, Andrew",LawAndrew,Andrew Law,Cultural and Community Life,ccl,ccl,2
"Law, Tom",LawTom,Tom Law,Work and Industry,wi,wi,2
"Lazarus, Mell",LazarusMell,Mell Lazarus,Work and Industry,wi,wi,2
"Lea, Bobby",LeaBobby,Bobby Lea,Cultural and Community Life,ccl,ccl,2
"Leadbeater, Anna",LeadbeaterAnna,Anna Leadbeater,Cultural and Community Life,ccl,ccl,2
"Leale, Charles",LealeCharles,Charles Leale,Political and Military History,pmh,pmh,2
"Leavitt, Thomas",LeavittThomas,Thomas Leavitt,Work and Industry,wi,wi,2
"Lebedev, Vladimir",LebedevVladimir,Vladimir Lebedev,Work and Industry,wi,wi,2
"LeDoux, Harold",LeDouxHarold,Harold LeDoux,Work and Industry,wi,wi,2
"Lee, Brenda",LeeBrenda,Brenda Lee,Cultural and Community Life,ccl,ccl,2
"Lee, Freddie ""Fingers""","LeeFreddie""Fingers""","Freddie ""Fingers"" Lee",Cultural and Community Life,ccl,ccl,2
"Lee, Walter L.",LeeWalterL,Walter L. Lee,Political and Military History,pmh,pmh,2
"Leighton, Clare",LeightonClare,Clare Leighton,Work and Industry,wi,wi,2
"Leith, Emmett N.",LeithEmmettN,Emmett N. Leith,Work and Industry,wi,wi,2
